Run_Name,Max_CTE,Min_TLC,RMS_Jerk_Long,RMS_Jerk_Lat,Max_Jerk_Long,Max_Jerk_Lat,Total_Evasions,LDR_Percent,Outlier_Triggered_By,u_sun_alt,u_clouds,u_rain,u_wetness,u_fog_den
run_001_Town02_rt0_LHS_000,1.2445,0.018,34.2179,25.1008,277.2,313.94,0,0.0,RMS_Jerk_Long,0.0923,0.9355,0.8818,0.284,0.234
run_005_Town02_rt0_LHS_004,1.1319,0.0152,33.7914,27.8711,185.64,218.9,0,0.0,RMS_Jerk_Long,0.8692,0.6753,0.1671,0.5523,0.912
run_006_Town02_rt0_LHS_005,1.5288,0.0384,26.0288,21.4528,237.9,211.84,0,0.0,Min_TLC,0.1482,0.2194,0.8937,0.3212,0.6854
run_007_Town02_rt0_LHS_006,1.5754,0.0281,28.4339,32.9987,209.44,312.8,2,0.11,"Total_Evasions, LDR_Percent",0.2977,0.3374,0.8261,0.7944,0.072
run_009_Town02_rt0_LHS_008,1.9152,0.0,28.2112,19.3084,303.38,142.54,3,0.28,"Total_Evasions, LDR_Percent",0.0569,0.5259,0.603,0.8731,0.6509
run_016_Town02_rt0_LHS_015,1.1195,0.0152,34.2914,23.6133,204.38,161.42,0,0.0,RMS_Jerk_Long,0.939,0.9237,0.9979,0.1504,0.215
run_019_Town02_rt0_LHS_018,1.9422,0.0,27.4861,20.2409,281.4,193.12,3,0.23,"Total_Evasions, LDR_Percent",0.2283,0.4763,0.3854,0.9918,0.1803
run_023_Town02_rt0_LHS_022,1.7476,0.0051,28.0688,29.6213,210.56,233.12,2,0.17,"Total_Evasions, LDR_Percent",0.1744,0.1299,0.7917,0.8074,0.2973
run_025_Town02_rt0_LHS_024,1.4455,0.0183,34.384,24.3911,245.0,233.94,0,0.0,RMS_Jerk_Long,0.073,0.2887,0.1838,0.0489,0.55
run_030_Town02_rt0_LHS_029,1.6498,0.0316,35.0075,25.8437,292.48,175.0,0,0.0,RMS_Jerk_Long,0.2095,0.6984,0.6901,0.5851,0.7005
run_032_Town02_rt0_LHS_031,1.0886,0.0182,34.6734,35.0038,233.3,281.66,0,0.0,"RMS_Jerk_Long, RMS_Jerk_Lat",0.7632,0.7272,0.5577,0.2608,0.9616
run_034_Town02_rt0_LHS_033,1.944,0.0,34.3946,27.6957,209.52,196.46,0,0.0,RMS_Jerk_Long,0.406,0.7573,0.2095,0.7221,0.3807
run_035_Town02_rt0_LHS_034,1.896,0.0,27.6431,25.5642,241.2,199.46,2,0.17,"Total_Evasions, LDR_Percent",0.4156,0.8268,0.4486,0.8996,0.3362
run_039_Town02_rt0_LHS_038,1.7658,0.0,26.6821,20.6785,261.82,186.78,3,0.22,"Total_Evasions, LDR_Percent",0.1894,0.2658,0.6679,0.7771,0.7327
run_042_Town02_rt0_LHS_041,1.8835,0.0,29.5749,20.0315,344.12,145.04,0,0.0,Max_Jerk_Long,0.1709,0.9549,0.7582,0.7558,0.4107
run_043_Town02_rt0_LHS_042,1.1048,0.0164,35.3791,34.0264,181.22,237.54,0,0.0,"RMS_Jerk_Long, RMS_Jerk_Lat",0.3836,0.8575,0.012,0.0799,0.2619
run_054_Town02_rt0_LHS_053,1.9322,0.0,36.1559,26.1151,304.26,210.14,4,0.28,"RMS_Jerk_Long, Total_Evasions, LDR_Percent",0.4458,0.0088,0.7445,0.9087,0.3556
run_055_Town02_rt0_LHS_054,1.0809,0.0186,35.1265,21.8419,273.74,181.66,0,0.0,RMS_Jerk_Long,0.9157,0.7288,0.2353,0.6377,0.0858
run_060_Town02_rt0_LHS_059,1.7055,0.0078,28.0116,22.4977,343.2,315.8,3,0.39,"Max_Jerk_Long, Total_Evasions, LDR_Percent",0.1322,0.109,0.6564,0.8411,0.0273
run_061_Town02_rt0_LHS_060,1.7327,0.0051,28.6022,20.5303,303.2,157.3,5,0.34,"Total_Evasions, LDR_Percent",0.0107,0.4456,0.0755,0.9254,0.7899
run_063_Town02_rt0_LHS_062,1.7932,0.0,28.1511,19.4961,245.32,150.12,2,0.17,"Total_Evasions, LDR_Percent",0.4719,0.962,0.1131,0.9833,0.4877
